,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"8. Situación de tenencia de la vivienda del hogar, según comuna.",,,,,,,,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Hogares censados,Propia pagada,Propia pagándose,Arrendada con contrato,Arrendada sin contrato,Cedida por trabajo o servicio,Cedida por familiar u otro,Usufructo: solo uso y goce,Ocupada de hecho,Propiedad en sucesión y litigio,Tenencia de la vivienda no declarada
8,Biobío,82,Arauco,8205,Curanilahue,11.095,7.806,463,425,575,40,1.027,81,547,130,1
8,Biobío,82,Arauco,8206,Los Álamos,7.985,6.078,59,327,413,70,622,38,169,209,0
8,Biobío,82,Arauco,8207,Tirúa,3.607,2.785,26,103,296,27,298,15,20,37,0
8,Biobío,83,Biobío,8301,Los Ángeles,78.445,40.937,12.588,10.910,4.978,1.319,5.717,498,214,1.278,6
8,Biobío,83,Biobío,8302,Antuco,1.722,1.261,13,115,85,43,131,13,5,56,0
8,Biobío,83,Biobío,8303,Cabrero,11.389,7.970,190,759,933,223,956,80,40,238,0
8,Biobío,83,Biobío,8304,Laja,8.562,5.962,232,560,693,78,803,64,15,155,0
8,Biobío,83,Biobío,8305,Mulchén,10.163,6.625,300,678,727,321,944,82,84,402,0
8,Biobío,83,Biobío,8306,Nacimiento,9.231,5.968,368,700,793,83,780,179,38,321,1
8,Biobío,83,Biobío,8307,Negrete,3.762,2.737,44,193,213,73,404,26,15,57,0
8,Biobío,83,Biobío,8308,Quilaco,1.727,1.199,19,94,87,64,157,21,17,69,0
8,Biobío,83,Biobío,8309,Quilleco,3.582,2.493,22,162,217,126,351,28,17,166,0
8,Biobío,83,Biobío,8310,San Rosendo,1.322,928,18,61,98,15,124,7,25,46,0
8,Biobío,83,Biobío,8311,Santa Bárbara,5.215,3.543,74,407,354,182,454,45,13,142,1
8,Biobío,83,Biobío,8312,Tucapel,6.176,4.376,60,441,410,104,573,28,31,153,0
8,Biobío,83,Biobío,8313,Yumbel,8.890,6.333,184,555,457,149,815,76,37,283,1
8,Biobío,83,Biobío,8314,Alto Biobío,2.029,1.718,6,30,71,14,134,15,11,30,0
9,La Araucanía,91,Cautín,9101,Temuco,110.496,48.385,20.877,22.137,7.640,583,7.213,862,887,1.889,23
9,La Araucanía,91,Cautín,9102,Carahue,9.090,6.656,97,441,485,117,826,44,74,350,0
9,La Araucanía,91,Cautín,9103,Cunco,7.324,5.095,87,332,439,306,650,49,29,336,1
9,La Araucanía,91,Cautín,9104,Curarrehue,2.906,2.017,31,122,225,58,299,18,13,123,0
9,La Araucanía,91,Cautín,9105,Freire,9.721,7.011,146,351,443,373,968,76,38,315,0
9,La Araucanía,91,Cautín,9106,Galvarino,4.515,3.599,25,123,142,60,413,22,15,116,0
9,La Araucanía,91,Cautín,9107,Gorbea,5.583,3.659,66,443,370,165,577,43,33,227,0
9,La Araucanía,91,Cautín,9108,Lautaro,14.817,9.819,1.156,1.213,809,272,1.126,119,54,249,0
9,La Araucanía,91,Cautín,9109,Loncoche,9.568,6.645,237,600,561,194,865,65,62,338,1
9,La Araucanía,91,Cautín,9110,Melipeuco,2.624,1.801,25,130,214,49,255,11,12,127,0
9,La Araucanía,91,Cautín,9111,Nueva Imperial,12.109,8.694,204,781,645,136,1.097,80,69,402,1
9,La Araucanía,91,Cautín,9112,Padre Las Casas,27.708,18.779,2.483,2.300,1.361,220,1.835,194,110,422,4
9,La Araucanía,91,Cautín,9113,Perquenco,2.742,2.049,24,131,134,90,228,17,15,54,0
9,La Araucanía,91,Cautín,9114,Pitrufquén,10.252,6.870,267,802,636,190,909,96,56,425,1
9,La Araucanía,91,Cautín,9115,Pucón,12.548,6.079,752,2.070,1.535,448,1.256,100,51,252,5
9,La Araucanía,91,Cautín,9116,Saavedra,4.926,3.769,26,99,208,55,544,30,47,148,0
9,La Araucanía,91,Cautín,9117,Teodoro Schmidt,6.048,4.602,36,196,338,85,548,35,30,178,0
9,La Araucanía,91,Cautín,9118,Toltén,3.857,2.745,33,186,247,70,315,56,47,158,0
9,La Araucanía,91,Cautín,9119,Vilcún,11.229,7.483,995,642,653,278,845,59,46,227,1
9,La Araucanía,91,Cautín,9120,Villarrica,25.155,13.858,2.563,2.970,2.022,653,2.256,196,84,547,6
9,La Araucanía,91,Cautín,9121,Cholchol,4.549,3.513,51,169,214,30,418,27,21,105,1
9,La Araucanía,92,Malleco,9201,Angol,19.220,12.100,1.516,2.237,1.125,304,1.143,229,62,500,4
9,La Araucanía,92,Malleco,9202,Collipulli,8.764,6.207,153,503,632,103,737,121,71,236,1
9,La Araucanía,92,Malleco,9203,Curacautín,7.102,4.929,160,554,384,187,568,52,29,239,0
9,La Araucanía,92,Malleco,9204,Ercilla,2.787,2.002,19,112,135,36,245,48,30,160,0
9,La Araucanía,92,Malleco,9205,Lonquimay,3.763,2.978,25,200,185,88,197,26,5,59,0
9,La Araucanía,92,Malleco,9206,Los Sauces,2.716,1.895,30,136,203,70,246,21,13,102,0
9,La Araucanía,92,Malleco,9207,Lumaco,3.401,2.518,21,144,212,50,242,9,30,175,0
9,La Araucanía,92,Malleco,9208,Purén,4.515,3.251,47,261,307,57,385,43,38,125,1
9,La Araucanía,92,Malleco,9209,Renaico,3.834,2.813,48,286,218,66,309,20,16,57,1
9,La Araucanía,92,Malleco,9210,Traiguén,7.026,4.803,193,587,383,148,516,72,38,286,0
9,La Araucanía,92,Malleco,9211,Victoria,12.465,8.052,647,1.157,761,313,1.026,101,45,361,2
14,Los Ríos,141,Valdivia,14101,Valdivia,63.026,27.519,9.798,11.463,6.315,627,4.984,545,289,1.474,12
14,Los Ríos,141,Valdivia,14102,Corral,2.131,1.690,25,58,93,24,184,8,3,46,0
14,Los Ríos,141,Valdivia,14103,Lanco,6.432,4.443,138,539,432,114,501,69,28,168,0
14,Los Ríos,141,Valdivia,14104,Los Lagos,7.908,5.068,223,569,524,513,767,51,35,156,2
14,Los Ríos,141,Valdivia,14105,Máfil,2.949,1.912,83,197,188,209,240,21,10,89,0
14,Los Ríos,141,Valdivia,14106,Mariquina,8.223,5.557,306,510,546,242,768,68,69,156,1
14,Los Ríos,141,Valdivia,14107,Paillaco,7.294,4.721,117,505,517,421,722,31,19,240,1
14,Los Ríos,141,Valdivia,14108,Panguipulli,13.315,8.591,437,821,1.059,590,1.362,67,42,345,1
14,Los Ríos,142,Ranco,14201,La Unión,14.579,8.722,1.246,1.174,922,631,1.320,84,37,441,2
14,Los Ríos,142,Ranco,14202,Futrono,5.761,3.773,75,260,565,370,599,15,11,92,1
14,Los Ríos,142,Ranco,14203,Lago Ranco,4.090,2.913,59,155,213,240,398,18,6,88,0
14,Los Ríos,142,Ranco,14204,Río Bueno,12.935,7.836,588,922,806,1.165,1.224,60,45,287,2
10,Los Lagos,101,Llanquihue,10101,Puerto Montt,100.163,47.079,17.095,15.857,10.478,999,6.377,523,438,1.298,19
10,Los Lagos,101,Llanquihue,10102,Calbuco,13.410,10.114,244,597,1.069,105,974,55,24,228,0
10,Los Lagos,101,Llanquihue,10103,Cochamó,1.887,1.386,16,57,162,71,152,2,3,36,2
10,Los Lagos,101,Llanquihue,10104,Fresia,4.853,3.487,65,197,367,200,410,12,9,106,0
10,Los Lagos,101,Llanquihue,10105,Frutillar,8.159,4.811,603,862,570,525,596,77,26,88,1
10,Los Lagos,101,Llanquihue,10106,Los Muermos,6.657,4.705,78,352,464,386,543,17,20,92,0
10,Los Lagos,101,Llanquihue,10107,Llanquihue,6.206,3.691,464,496,521,223,626,24,53,108,0
10,Los Lagos,101,Llanquihue,10108,Maullín,5.960,4.638,48,135,471,93,386,12,20,157,0
10,Los Lagos,101,Llanquihue,10109,Puerto Varas,19.108,8.172,3.417,3.962,1.185,598,1.447,96,55,169,7
10,Los Lagos,102,Chiloé,10201,Castro,17.911,9.729,1.686,2.449,2.306,158,1.230,100,41,207,5
10,Los Lagos,102,Chiloé,10202,Ancud,15.668,10.618,686,1.095,1.474,213,1.167,80,54,279,2
10,Los Lagos,102,Chiloé,10203,Chonchi,6.355,4.366,206,399,686,85,472,27,4,109,1
10,Los Lagos,102,Chiloé,10204,Curaco de Vélez,1.423,1.131,5,62,86,10,107,2,0,20,0
10,Los Lagos,102,Chiloé,10205,Dalcahue,5.610,4.029,117,379,673,35,300,25,10,42,0
10,Los Lagos,102,Chiloé,10206,Puqueldón,1.556,1.275,5,50,87,22,106,1,0,10,0
10,Los Lagos,102,Chiloé,10207,Queilén,2.237,1.746,36,73,175,19,159,7,7,15,0
10,Los Lagos,102,Chiloé,10208,Quellón,10.859,6.761,325,899,1.982,92,646,76,28,49,1
10,Los Lagos,102,Chiloé,10209,Quemchi,3.373,2.669,21,107,271,19,191,11,6,78,0
10,Los Lagos,102,Chiloé,10210,Quinchao,3.011,2.344,28,143,270,17,159,15,6,28,1
10,Los Lagos,103,Osorno,10301,Osorno,62.545,30.542,8.670,10.206,4.360,1.264,5.405,450,567,1.070,11
10,Los Lagos,103,Osorno,10302,Puerto Octay,3.349,1.918,42,125,185,730,287,16,8,37,1
10,Los Lagos,103,Osorno,10303,Purranque,7.304,4.193,225,505,590,619,810,41,16,304,1
10,Los Lagos,103,Osorno,10304,Puyehue,4.404,2.827,47,225,201,597,394,20,16,77,0
10,Los Lagos,103,Osorno,10305,Río Negro,5.269,3.441,106,268,275,497,482,23,13,162,2
10,Los Lagos,103,Osorno,10306,San Juan de la Costa,3.340,2.701,22,42,66,90,334,15,24,46,0
10,Los Lagos,103,Osorno,10307,San Pablo,4.192,2.854,73,204,172,386,368,19,12,104,0
10,Los Lagos,104,Palena,10401,Chaitén,1.676,1.014,13,177,137,70,115,23,118,9,0
10,Los Lagos,104,Palena,10402,Futaleufú,1.333,750,34,123,255,39,111,2,2,16,1
10,Los Lagos,104,Palena,10403,Hualaihué,3.709,2.918,46,133,331,38,193,9,15,26,0
10,Los Lagos,104,Palena,10404,Palena,868,523,6,60,112,38,63,10,16,40,0
11,Aysén del General Carlos Ibáñez del Campo,111,Coyhaique,11101,Coyhaique,22.423,11.223,2.280,4.314,1.994,604,1.378,123,109,397,1
11,Aysén del General Carlos Ibáñez del Campo,111,Coyhaique,11102,Lago Verde,373,214,2,26,48,36,26,0,3,18,0
11,Aysén del General Carlos Ibáñez del Campo,112,Aysén,11201,Aysén,9.057,5.307,439,1.136,1.085,197,654,36,45,157,1
11,Aysén del General Carlos Ibáñez del Campo,112,Aysén,11202,Cisnes,2.180,1.288,81,216,292,104,131,17,15,36,0
11,Aysén del General Carlos Ibáñez del Campo,112,Aysén,11203,Guaitecas,606,411,9,36,104,12,24,1,5,4,0
11,Aysén del General Carlos Ibáñez del Campo,113,Capitán Prat,11301,Cochrane,1.462,797,63,198,203,73,85,4,7,32,0
11,Aysén del General Carlos Ibáñez del Campo,113,Capitán Prat,11302,O'Higgins,292,138,1,32,59,33,23,2,0,4,0
11,Aysén del General Carlos Ibáñez del Campo,113,Capitán Prat,11303,Tortel,231,114,3,26,45,18,14,3,3,5,0
11,Aysén del General Carlos Ibáñez del Campo,114,General Carrera,11401,Chile Chico,2.109,1.175,58,231,285,83,144,22,11,99,1
11,Aysén del General Carlos Ibáñez del Campo,114,General Carrera,11402,Río Ibáñez,1.231,719,18,83,150,53,127,11,8,62,0
12,Magallanes y de la Antártica Chilena,121,Magallanes,12101,Punta Arenas,49.571,25.347,6.418,8.138,3.500,1.350,3.332,295,154,1.028,9
12,Magallanes y de la Antártica Chilena,121,Magallanes,12102,Laguna Blanca,98,15,1,4,5,66,3,1,0,3,0
12,Magallanes y de la Antártica Chilena,121,Magallanes,12103,Río Verde,63,5,0,1,0,55,1,0,0,1,0
12,Magallanes y de la Antártica Chilena,121,Magallanes,12104,San Gregorio,110,26,2,7,6,58,7,2,0,2,0
12,Magallanes y de la Antártica Chilena,122,Antártica Chilena,12201,Cabo de Hornos,617,167,12,148,53,209,25,0,2,1,0
12,Magallanes y de la Antártica Chilena,122,Antártica Chilena,12202,Antártica,-,-,-,-,-,-,-,-,-,-,-
12,Magallanes y de la Antártica Chilena,123,Tierra del Fuego,12301,Porvenir,2.770,1.338,174,466,382,189,159,4,14,43,1
12,Magallanes y de la Antártica Chilena,123,Tierra del Fuego,12302,Primavera,181,61,5,33,18,48,10,1,3,2,0
12,Magallanes y de la Antártica Chilena,123,Tierra del Fuego,12303,Timaukel,62,6,0,7,4,44,0,0,0,1,0
12,Magallanes y de la Antártica Chilena,124,Última Esperanza,12401,Natales,9.490,5.518,602,1.449,1.005,201,499,56,13,146,1
12,Magallanes y de la Antártica Chilena,124,Última Esperanza,12402,Torres del Paine,100,23,2,27,2,44,1,0,0,1,0
,,,,,,,,,,,,,,,,
"Fuente: Censo de Población y Vivienda 2024 - Instituto Nacional de Estadísticas.
Nota: La información utilizada fue procesada bajo los principios de protección y privacidad de los datos de la ley 17.374.",,,,,,,,,,,,,,,,
